authors
Lauren Graham
Suzanne Collins
J.K. Rowling, Mary GrandPrÃ©
Stephenie Meyer
Harper Lee
F. Scott Fitzgerald
John Green
J.R.R. Tolkien
J.D. Salinger
Dan Brown
Jane Austen
Khaled Hosseini
Veronica Roth
George Orwell, Erich Fromm, CelÃ¢l Ãœster
George Orwell
Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday
Stieg Larsson, Reg Keeland
Suzanne Collins
J.K. Rowling, Mary GrandPrÃ©, Rufus Beck
J.R.R. Tolkien
Suzanne Collins
J.K. Rowling, Mary GrandPrÃ©
Alice Sebold
J.K. Rowling, Mary GrandPrÃ©
J.K. Rowling, Mary GrandPrÃ©
J.K. Rowling, Mary GrandPrÃ©
Dan Brown
J.K. Rowling, Mary GrandPrÃ©
William Golding
William Shakespeare, Robert           Jackson
Gillian Flynn
Kathryn Stockett
John Steinbeck
Arthur Golden
E.L. James
Paulo Coelho, Alan R. Clarke
Lois Lowry
C.S. Lewis
Audrey Niffenegger
George R.R. Martin
Elizabeth Gilbert
Rick Riordan
Louisa May Alcott
Charlotte BrontÃ«, Michael Mason
Nicholas Sparks
Yann Martel
Sara Gruen
Markus Zusak
Ray Bradbury
Stephenie Meyer
Shel Silverstein
Cassandra Clare
Stephenie Meyer
Christopher Paolini
Douglas Adams
Aldous Huxley
Stephenie Meyer
Sue Monk Kidd
Mark Twain, John Seelye, Guy Cardwell
E.B. White, Garth Williams, Rosemary Wells
Mark Haddon
Paula Hawkins
Philip Pullman
Emily BrontÃ«, Richard J. Dunn
Jodi Picoult
Kurt Vonnegut Jr.
Margaret Mitchell
Khaled Hosseini
Stephen Chbosky
Veronica Roth
Orson Scott Card
Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle
Stephen King
Stephenie Meyer
John Green
Helen Fielding
Jane Austen, Tony Tanner, Ros Ballaster
Louis Sachar, Louis Sachar
Lauren Weisberger
Homer, Robert Fagles, E.V. Rieu, FrÃ©dÃ©ric Mugler, Bernard Knox
Antoine de Saint-ExupÃ©ry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta
Jeannette Walls
Jon Krakauer
Charles Dickens, Richard Maxwell, Hablot Knight Browne
Michael Crichton
Shel Silverstein
John Grisham
Elie Wiesel, Marion Wiesel
John Green
William Goldman
S.E. Hinton
James Dashner
Steven D. Levitt, Stephen J. Dubner
Frances Hodgson Burnett
Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa
Oscar Wilde, Jeffrey Eugenides
E.L. James
Bram Stoker, Nina Auerbach, David J. Skal
Stieg Larsson, Reg Keeland
E.L. James
